,timestamps,mem,cpu,disk,clustername
0,1584261719999,119014824,12482,777392128,AMS01-TVPP1-CloudCenter-Cluster
1,1584262019999,119020768,12600,777392128,AMS01-TVPP1-CloudCenter-Cluster
2,1584262319999,119017144,12398,777503744,AMS01-TVPP1-CloudCenter-Cluster
3,1584262619999,119017344,12576,777503744,AMS01-TVPP1-CloudCenter-Cluster
4,1584262919999,119018224,12488,777503744,AMS01-TVPP1-CloudCenter-Cluster
5,1584263219999,119023080,12397,777503744,AMS01-TVPP1-CloudCenter-Cluster
6,1584263519999,119026056,12408,777503744,AMS01-TVPP1-CloudCenter-Cluster
7,1584263819999,119030832,12354,777503744,AMS01-TVPP1-CloudCenter-Cluster
8,1584264119999,119033432,12128,777503744,AMS01-TVPP1-CloudCenter-Cluster
9,1584264419999,119030480,12309,777503744,AMS01-TVPP1-CloudCenter-Cluster
10,1584264719999,119028496,12431,777503744,AMS01-TVPP1-CloudCenter-Cluster
11,1584265019999,119023864,12254,777503744,AMS01-TVPP1-CloudCenter-Cluster
12,1584265319999,119023512,12288,777503744,AMS01-TVPP1-CloudCenter-Cluster
13,1584265619999,119025176,12204,777503744,AMS01-TVPP1-CloudCenter-Cluster
14,1584265919999,119029560,12350,777503744,AMS01-TVPP1-CloudCenter-Cluster
15,1584266219999,119028456,12396,777503744,AMS01-TVPP1-CloudCenter-Cluster
16,1584266519999,119019744,12258,777503744,AMS01-TVPP1-CloudCenter-Cluster
17,1584266819999,119019608,12553,777503744,AMS01-TVPP1-CloudCenter-Cluster
18,1584267119999,119023160,12471,777503744,AMS01-TVPP1-CloudCenter-Cluster
19,1584267419999,119022600,12281,777503744,AMS01-TVPP1-CloudCenter-Cluster
20,1584267719999,119026520,12557,777503744,AMS01-TVPP1-CloudCenter-Cluster
21,1584268019999,119026840,12285,777503744,AMS01-TVPP1-CloudCenter-Cluster
22,1584268319999,119027088,12522,777503744,AMS01-TVPP1-CloudCenter-Cluster
23,1584268619999,119034000,12540,777503744,AMS01-TVPP1-CloudCenter-Cluster
24,1584268919999,119034704,12442,777503744,AMS01-TVPP1-CloudCenter-Cluster
25,1584269219999,119036376,12483,777503744,AMS01-TVPP1-CloudCenter-Cluster
26,1584269519999,119037304,12399,777503744,AMS01-TVPP1-CloudCenter-Cluster
27,1584269819999,119036320,12201,777503744,AMS01-TVPP1-CloudCenter-Cluster
28,1584270119999,119036984,12217,777503744,AMS01-TVPP1-CloudCenter-Cluster
29,1584270419999,119041024,12543,777503744,AMS01-TVPP1-CloudCenter-Cluster
30,1584270719999,119040560,12277,777503744,AMS01-TVPP1-CloudCenter-Cluster
31,1584271019999,119044840,12185,777503744,AMS01-TVPP1-CloudCenter-Cluster
32,1584271319999,119051456,12412,777503744,AMS01-TVPP1-CloudCenter-Cluster
33,1584271619999,119050776,12218,777503744,AMS01-TVPP1-CloudCenter-Cluster
34,1584271919999,119050984,12169,777503744,AMS01-TVPP1-CloudCenter-Cluster
35,1584272219999,119041328,12499,777503744,AMS01-TVPP1-CloudCenter-Cluster
36,1584272519999,119042224,12277,777503744,AMS01-TVPP1-CloudCenter-Cluster
37,1584272819999,119043776,12187,777503744,AMS01-TVPP1-CloudCenter-Cluster
38,1584273119999,119046352,12460,777503744,AMS01-TVPP1-CloudCenter-Cluster
39,1584273419999,119047744,12273,777503744,AMS01-TVPP1-CloudCenter-Cluster
40,1584273719999,119038992,12185,777503744,AMS01-TVPP1-CloudCenter-Cluster
41,1584274019999,119037672,12543,777503744,AMS01-TVPP1-CloudCenter-Cluster
42,1584274319999,119037240,12385,777503744,AMS01-TVPP1-CloudCenter-Cluster
43,1584274619999,119044128,12186,777503744,AMS01-TVPP1-CloudCenter-Cluster
44,1584274919999,119045128,12619,777503744,AMS01-TVPP1-CloudCenter-Cluster
45,1584275219999,119048712,12335,777503744,AMS01-TVPP1-CloudCenter-Cluster
46,1584275519999,119047344,12554,777503744,AMS01-TVPP1-CloudCenter-Cluster
47,1584275819999,119055256,12760,777503744,AMS01-TVPP1-CloudCenter-Cluster
48,1584276119999,119057360,12422,777503744,AMS01-TVPP1-CloudCenter-Cluster
